,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
1063,338.5,343.36,345.5,336.9,2017-10-13T20:00:00.0000000Z,2017-10-13T19:00:00.0000000Z,715,3941.08789927,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1064,336.3,338.5,339.99,336.05,2017-10-13T21:00:00.0000000Z,2017-10-13T20:00:00.0000000Z,422,1927.54782799,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1065,338.37,336.31,339.28,332.0,2017-10-13T22:00:00.0000000Z,2017-10-13T21:00:00.0000000Z,656,3132.13251963,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1066,337.66,338.36,338.74,335.59,2017-10-13T23:00:00.0000000Z,2017-10-13T22:00:00.0000000Z,216,1157.18533152,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1067,336.64,337.61,337.61,335.66,2017-10-14T00:00:00.0000000Z,2017-10-13T23:00:00.0000000Z,253,255.79962783,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1068,333.95,336.64,336.74,333.55,2017-10-14T01:00:00.0000000Z,2017-10-14T00:00:00.0000000Z,208,562.04060423,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1069,335.77,333.95,336.2,333.36,2017-10-14T02:00:00.0000000Z,2017-10-14T01:00:00.0000000Z,260,909.95638201,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1070,335.46,335.77,335.77,335.46,2017-10-14T03:00:00.0000000Z,2017-10-14T02:00:00.0000000Z,204,238.61893101,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1071,338.0,335.45,338.0,335.34,2017-10-14T04:00:00.0000000Z,2017-10-14T03:00:00.0000000Z,417,1427.03422011,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1072,340.1,338.0,340.97,338.0,2017-10-14T05:00:00.0000000Z,2017-10-14T04:00:00.0000000Z,351,2679.68574767,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
